0.0000__64.0000, 0.9176__64.0000, 1.8358__64.0000, 2.7551__64.0000, 3.6761__64.0000, 4.5993__64.0000, 5.5253__64.0000, 6.4547__64.0000, 7.3881__64.0000, 8.3261__64.0000, 9.2692__64.0000, 10.2180__64.0000, 11.1732__64.0000, 12.1354__64.0000, 13.1050__64.0000, 14.0828__64.0000, 15.0692__64.0000, 16.0647__64.0000, 17.0700__64.0000, 18.0852__64.0000, 19.1107__64.0000, 20.1470__64.0000, 21.1941__64.0000, 22.2518__64.0000, 23.3201__64.0000, 24.3986__64.0000, 25.4869__64.0000, 26.5842__64.0000, 27.6895__64.0000, 28.8016__64.0000, 29.9193__64.0000, 31.0409__64.0000, 32.1645__64.0000, 33.2887__64.0000, 34.4118__64.0000, 35.5318__64.0000, 36.6469__64.0000, 37.7559__64.0000, 38.8569__64.0000, 39.9483__64.0000, 41.0287__64.0000, 42.0972__64.0000, 43.1529__64.0000, 44.1956__64.0000, 45.2255__64.0000, 46.2424__64.0000, 47.2471__64.0000, 48.2403__64.0000, 49.2220__64.0000, 50.1937__64.0000, 51.1555__64.0000, 52.1083__64.0000, 53.0530__64.0000, 53.9903__64.0000, 54.9208__64.0000, 55.8453__64.0000, 56.7644__64.0000, 57.6789__64.0000, 58.5893__64.0000, 59.4962__64.0000, 60.4003__64.0000, 61.3022__64.0000, 62.2024__64.0000, 63.1015__64.0000, 64.0000__64.0000, 
0.0000__63.1063, 0.9173__63.1066, 1.8353__63.1074, 2.7543__63.1088, 3.6750__63.1107, 4.5979__63.1131, 5.5237__63.1161, 6.4529__63.1196, 7.3860__63.1236, 8.3237__63.1281, 9.2665__63.1331, 10.2152__63.1387, 11.1701__63.1446, 12.1320__63.1511, 13.1015__63.1579, 14.0791__63.1651, 15.0653__63.1725, 16.0608__63.1804, 17.0659__63.1885, 18.0811__63.1966, 19.1066__63.2046, 20.1429__63.2132, 21.1900__63.2208, 22.2478__63.2291, 23.3163__63.2363, 24.3951__63.2436, 25.4837__63.2500, 26.5814__63.2560, 27.6871__63.2609, 28.7997__63.2651, 29.9179__63.2683, 31.0401__63.2703, 32.1643__63.2709, 33.2891__63.2710, 34.4128__63.2696, 35.5333__63.2668, 36.6490__63.2633, 37.7585__63.2587, 38.8602__63.2526, 39.9520__63.2455, 41.0332__63.2373, 42.1017__63.2283, 43.1579__63.2189, 44.2007__63.2087, 45.2305__63.1991, 46.2474__63.1886, 47.2520__63.1795, 48.2449__63.1694, 49.2267__63.1604, 50.1978__63.1517, 51.1594__63.1434, 52.1121__63.1357, 53.0565__63.1285, 53.9934__63.1219, 54.9237__63.1158, 55.8479__63.1104, 56.7667__63.1055, 57.6809__63.1012, 58.5910__63.0975, 59.4976__63.0944, 60.4015__63.0919, 61.3031__63.0899, 62.2030__63.0885, 63.1018__63.0876, 64.0000__63.0873, 
0.0000__62.2122, 0.9165__62.2127, 1.8336__62.2143, 2.7518__62.2170, 3.6717__62.2208, 4.5939__62.2257, 5.5188__62.2316, 6.4472__62.2386, 7.3796__62.2467, 8.3165__62.2557, 9.2586__62.2658, 10.2065__62.2768, 11.1608__62.2888, 12.1221__62.3016, 13.0909__62.3153, 14.0679__62.3297, 15.0538__62.3448, 16.0488__62.3605, 17.0536__62.3765, 18.0686__62.3929, 19.0942__62.4092, 20.1306__62.4263, 21.1778__62.4417, 22.2361__62.4582, 23.3051__62.4728, 24.3846__62.4876, 25.4742__62.5005, 26.5730__62.5125, 27.6800__62.5224, 28.7941__62.5308, 29.9138__62.5373, 31.0378__62.5413, 32.1637__62.5425, 33.2902__62.5427, 34.4156__62.5399, 35.5379__62.5344, 36.6554__62.5274, 37.7669__62.5179, 38.8698__62.5059, 39.9641__62.4915, 41.0455__62.4753, 42.1166__62.4569, 43.1723__62.4377, 44.2160__62.4176, 45.2453__62.3975, 46.2625__62.3775, 47.2667__62.3577, 48.2589__62.3387, 49.2400__62.3202, 50.2106__62.3027, 51.1714__62.2863, 52.1232__62.2707, 53.0668__62.2564, 54.0029__62.2431, 54.9323__62.2310, 55.8556__62.2201, 56.7736__62.2104, 57.6868__62.2018, 58.5961__62.1944, 59.5019__62.1882, 60.4049__62.1831, 61.3056__62.1792, 62.2047__62.1764, 63.1026__62.1747, 64.0000__62.1741, 
0.0000__61.3169, 0.9152__61.3177, 1.8309__61.3202, 2.7478__61.3242, 3.6663__61.3299, 4.5871__61.3372, 5.5107__61.3461, 6.4378__61.3566, 7.3688__61.3687, 8.3045__61.3823, 9.2454__61.3974, 10.1921__61.4140, 11.1452__61.4320, 12.1054__61.4513, 13.0733__61.4719, 14.0494__61.4936, 15.0344__61.5163, 16.0288__61.5399, 17.0331__61.5641, 18.0477__61.5889, 19.0733__61.6138, 20.1097__61.6389, 21.1573__61.6630, 22.2164__61.6875, 23.2863__61.7098, 24.3671__61.7321, 25.4582__61.7517, 26.5588__61.7699, 27.6680__61.7851, 28.7846__61.7978, 29.9070__61.8078, 31.0337__61.8138, 32.1627__61.8157, 33.2921__61.8160, 34.4204__61.8115, 35.5454__61.8037, 36.6665__61.7927, 37.7799__61.7789, 38.8876__61.7605, 39.9820__61.7392, 41.0703__61.7140, 42.1384__61.6857, 43.1982__61.6568, 44.2402__61.6259, 45.2713__61.5957, 46.2872__61.5656, 47.2911__61.5354, 48.2825__61.5068, 49.2625__61.4790, 50.2320__61.4528, 51.1915__61.4277, 52.1419__61.4046, 53.0841__61.3829, 54.0187__61.3631, 54.9466__61.3450, 55.8685__61.3286, 56.7850__61.3141, 57.6968__61.3012, 58.6046__61.2902, 59.5089__61.2808, 60.4105__61.2732, 61.3098__61.2673, 62.2075__61.2631, 63.1040__61.2606, 64.0000__61.2597, 
0.0000__60.4201, 0.9133__60.4212, 1.8271__60.4244, 2.7421__60.4298, 3.6587__60.4374, 4.5776__60.4471, 5.4994__60.4590, 6.4246__60.4730, 7.3538__60.4891, 8.2877__60.5073, 9.2268__60.5275, 10.1718__60.5497, 11.1233__60.5737, 12.0820__60.5996, 13.0484__60.6271, 14.0233__60.6563, 15.0071__60.6867, 16.0006__60.7184, 17.0042__60.7509, 18.0184__60.7842, 19.0438__60.8180, 20.0802__60.8510, 21.1284__60.8845, 22.1884__60.9170, 23.2596__60.9475, 24.3422__60.9774, 25.4354__61.0041, 26.5386__61.0288, 27.6509__61.0495, 28.7710__61.0668, 29.8974__61.0803, 31.0278__61.0884, 32.1611__61.0916, 33.2949__61.0911, 34.4268__61.0858, 35.5569__61.0747, 36.6806__61.0617, 37.8006__61.0398, 38.9074__61.0198, 40.0159__60.9876, 41.0946__60.9535, 42.1768__60.9162, 43.2301__60.8744, 44.2787__60.8352, 45.3064__60.7925, 46.3232__60.7524, 47.3254__60.7120, 48.3158__60.6732, 49.2943__60.6361, 50.2619__60.6007, 51.2195__60.5676, 52.1681__60.5364, 53.1082__60.5076, 54.0408__60.4811, 54.9667__60.4570, 55.8865__60.4353, 56.8009__60.4158, 57.7107__60.3988, 58.6164__60.3841, 59.5188__60.3717, 60.4183__60.3616, 61.3157__60.3537, 62.2114__60.3481, 63.1060__60.3448, 64.0000__60.3436, 
0.0000__59.5211, 0.9108__59.5225, 1.8222__59.5265, 2.7347__59.5333, 3.6490__59.5428, 4.5655__59.5549, 5.4848__59.5698, 6.4076__59.5873, 7.3345__59.6074, 8.2660__59.6302, 9.2029__59.6555, 10.1457__59.6833, 11.0950__59.7135, 12.0517__59.7460, 13.0163__59.7806, 13.9894__59.8172, 14.9718__59.8556, 15.9640__59.8955, 16.9667__59.9367, 17.9803__59.9786, 19.0052__60.0214, 20.0418__60.0630, 21.0908__60.1062, 22.1518__60.1469, 23.2247__60.1860, 24.3097__60.2238, 25.4054__60.2581, 26.5122__60.2895, 27.6280__60.3162, 28.7534__60.3387, 29.8843__60.3556, 31.0206__60.3661, 32.1589__60.3705, 33.2981__60.3696, 34.4358__60.3620, 35.5693__60.3503, 36.7029__60.3312, 37.8221__60.3081, 38.9448__60.2753, 40.0371__60.2457, 41.1558__60.1943, 42.2131__60.1440, 43.2872__60.0958, 44.3224__60.0390, 45.3548__59.9906, 46.3686__59.9365, 47.3703__59.8868, 48.3586__59.8376, 49.3352__59.7908, 50.3007__59.7464, 51.2559__59.7047, 52.2017__59.6658, 53.1393__59.6297, 54.0692__59.5966, 54.9924__59.5665, 55.9096__59.5393, 56.8213__59.5151, 57.7285__59.4939, 58.6316__59.4756, 59.5314__59.4602, 60.4284__59.4476, 61.3232__59.4378, 62.2164__59.4308, 63.1085__59.4267, 64.0000__59.4253, 
0.0000__58.6194, 0.9078__58.6211, 1.8162__58.6259, 2.7258__58.6340, 3.6370__58.6454, 4.5505__58.6600, 5.4670__58.6778, 6.3868__58.6989, 7.3108__58.7231, 8.2395__58.7504, 9.1735__58.7809, 10.1136__58.8143, 11.0604__58.8507, 12.0145__58.8899, 12.9767__58.9317, 13.9478__58.9760, 14.9282__59.0225, 15.9188__59.0708, 16.9203__59.1208, 17.9330__59.1718, 18.9574__59.2235, 19.9944__59.2751, 21.0441__59.3275, 22.1061__59.3772, 23.1813__59.4254, 24.2685__59.4716, 25.3688__59.5138, 26.4781__59.5523, 27.6010__59.5861, 28.7294__59.6137, 29.8693__59.6349, 31.0106__59.6474, 32.1568__59.6534, 33.3020__59.6511, 34.4456__59.6435, 35.5888__59.6269, 36.7195__59.6087, 37.8632__59.5747, 38.9721__59.5444, 40.1117__59.4950, 41.1661__59.4418, 42.2961__59.3835, 43.3315__59.3020, 44.3851__59.2521, 45.4110__59.1815, 46.4261__59.1210, 47.4255__59.0581, 48.4118__58.9993, 49.3856__58.9425, 50.3481__58.8889, 51.3002__58.8385, 52.2430__58.7918, 53.1773__58.7484, 54.1040__58.7088, 55.0238__58.6727, 55.9376__58.6402, 56.8462__58.6113, 57.7501__58.5860, 58.6501__58.5640, 59.5468__58.5456, 60.4406__58.5306, 61.3324__58.5190, 62.2225__58.5107, 63.1115__58.5057, 64.0000__58.5041, 
0.0000__57.7145, 0.9043__57.7164, 1.8092__57.7221, 2.7152__57.7316, 3.6229__57.7448, 4.5330__57.7618, 5.4459__57.7826, 6.3623__57.8072, 7.2828__57.8354, 8.2080__57.8674, 9.1387__57.9030, 10.0755__57.9422, 11.0191__57.9849, 11.9703__58.0309, 12.9297__58.0800, 13.8981__58.1322, 14.8763__58.1869, 15.8649__58.2441, 16.8648__58.3031, 17.8763__58.3635, 18.9002__58.4247, 19.9374__58.4867, 20.9875__58.5482, 22.0511__58.6078, 23.1283__58.6663, 24.2200__58.7204, 25.3217__58.7728, 26.4408__58.8171, 27.5608__58.8588, 28.7049__58.8941, 29.8466__58.9183, 31.0023__58.9343, 32.1515__58.9393, 33.3061__58.9394, 34.4606__58.9270, 35.6038__58.9117, 36.7561__58.8808, 37.8798__58.8632, 39.0221__58.7853, 40.0751__58.7688, 41.3181__58.7223, 42.3345__58.5705, 43.4071__58.5436, 44.4530__58.4457, 45.4819__58.3789, 46.4945__58.2990, 47.4916__58.2277, 48.4752__58.1569, 49.4457__58.0904, 50.4046__58.0272, 51.3530__57.9685, 52.2918__57.9137, 53.2222__57.8632, 54.1449__57.8169, 55.0608__57.7750, 55.9708__57.7372, 56.8755__57.7037, 57.7756__57.6742, 58.6718__57.6489, 59.5648__57.6275, 60.4550__57.6101, 61.3431__57.5967, 62.2296__57.5870, 63.1151__57.5813, 64.0000__57.5794, 
0.0000__56.8058, 0.9003__56.8080, 1.8011__56.8145, 2.7031__56.8252, 3.6067__56.8404, 4.5127__56.8598, 5.4215__56.8835, 6.3338__56.9116, 7.2504__56.9440, 8.1717__56.9805, 9.0985__57.0214, 10.0315__57.0663, 10.9713__57.1153, 11.9189__57.1682, 12.8750__57.2249, 13.8403__57.2850, 14.8157__57.3483, 15.8018__57.4145, 16.7995__57.4829, 17.8097__57.5532, 18.8330__57.6245, 19.8698__57.6972, 20.9207__57.7683, 21.9857__57.8392, 23.0658__57.9069, 24.1588__57.9732, 25.2700__58.0306, 26.3840__58.0893, 27.5295__58.1318, 28.6602__58.1809, 29.8370__58.2114, 30.9830__58.2209, 32.1518__58.2349, 33.3116__58.2268, 34.4684__58.2235, 35.6435__58.1916, 36.7793__58.1764, 37.9442__58.1200, 39.0557__58.0836, 40.1324__57.9067, 41.3671__57.8319, 42.4227__57.8543, 43.5001__57.7330, 44.5363__57.6600, 45.5666__57.5628, 46.5748__57.4774, 47.5697__57.3914, 48.5488__57.3107, 49.5155__57.2332, 50.4701__57.1610, 51.4139__57.0933, 52.3482__57.0308, 53.2738__56.9730, 54.1919__56.9204, 55.1033__56.8726, 56.0088__56.8297, 56.9090__56.7916, 57.8048__56.7582, 58.6967__56.7295, 59.5854__56.7053, 60.4714__56.6855, 61.3554__56.6703, 62.2378__56.6594, 63.1191__56.6529, 64.0000__56.6507, 
0.0000__55.8927, 0.8957__55.8951, 1.7919__55.9024, 2.6892__55.9145, 3.5883__55.9315, 4.4897__55.9533, 5.3939__55.9800, 6.3017__56.0116, 7.2136__56.0480, 8.1304__56.0892, 9.0527__56.1352, 9.9812__56.1860, 10.9168__56.2414, 11.8603__56.3013, 12.8124__56.3656, 13.7740__56.4339, 14.7460__56.5060, 15.7292__56.5814, 16.7245__56.6598, 17.7330__56.7405, 18.7551__56.8224, 19.7915__56.9059, 20.8427__56.9884, 21.9100__57.0699, 22.9922__57.1504, 24.0916__57.2233, 25.2030__57.2998, 26.3418__57.3541, 27.4604__57.4195, 28.6556__57.4713, 29.7822__57.5023, 30.9843__57.5276, 32.1397__57.5207, 33.3147__57.5368, 34.4970__57.5070, 35.6431__57.5047, 36.8544__57.4499, 37.9713__57.4224, 39.1426__57.3176, 40.2847__57.1808, 41.4096__57.1446, 42.5421__57.0486, 43.5852__56.9645, 44.6421__56.8492, 45.6588__56.7507, 46.6693__56.6481, 47.6581__56.5508, 48.6338__56.4582, 49.5950__56.3708, 50.5445__56.2887, 51.4830__56.2127, 52.4119__56.1420, 53.3324__56.0774, 54.2451__56.0183, 55.1512__55.9649, 56.0515__55.9169, 56.9468__55.8744, 57.8376__55.8372, 58.7246__55.8051, 59.6086__55.7782, 60.4898__55.7562, 61.3692__55.7393, 62.2469__55.7272, 63.1237__55.7199, 64.0000__55.7175, 
0.0000__54.9747, 0.8906__54.9774, 1.7817__54.9854, 2.6739__54.9988, 3.5679__55.0176, 4.4641__55.0418, 5.3632__55.0714, 6.2658__55.1064, 7.1726__55.1468, 8.0842__55.1927, 9.0014__55.2440, 9.9250__55.3005, 10.8556__55.3624, 11.7943__55.4294, 12.7417__55.5014, 13.6990__55.5781, 14.6670__55.6593, 15.6467__55.7444, 16.6392__55.8331, 17.6451__55.9245, 18.6659__56.0179, 19.7018__56.1127, 20.7538__56.2071, 21.8221__56.3016, 22.9074__56.3911, 24.0085__56.4822, 25.1297__56.5574, 26.2665__56.6520, 27.4227__56.6679, 28.5263__56.7936, 29.8414__56.8263, 30.9559__56.7952, 32.1389__56.8452, 33.3247__56.8225, 34.4969__56.8370, 35.6987__56.7622, 36.7964__56.7881, 38.1309__56.7211, 39.2078__56.5566, 40.3997__56.5034, 41.5521__56.3786, 42.6201__56.2984, 43.7169__56.1644, 44.7408__56.0474, 45.7756__55.9302, 46.7729__55.8128, 47.7602__55.7042, 48.7292__55.5991, 49.6850__55.5013, 50.6282__55.4099, 51.5606__55.3247, 52.4832__55.2468, 53.3973__55.1750, 54.3041__55.1099, 55.2044__55.0509, 56.0990__54.9982, 56.9885__54.9514, 57.8738__54.9105, 58.7555__54.8753, 59.6341__54.8457, 60.5103__54.8216, 61.3843__54.8030, 62.2571__54.7898, 63.1287__54.7818, 64.0000__54.7792, 
