Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Average Aspect Ratio (height/width),Average Aspect Ratio min(height/width)/max(height/width), Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0214, -0.0036, 0.03, 0.015, 0.007587, 1.071068, 0.898914, 0.001, 3.5488
0, 2, 0.0037, 0.0006, 0.0044, 0.0022, 0.0011, 1.079318, 0.906359, 0.001, 3.6332
0, 3, 0.0024, -0.0002, 0.003, 0.0015, 0.000744, 1.073866, 0.908478, 0.001, 3.6377
0, 4, 0.0024, -0.0002, 0.003, 0.0015, 0.000744, 1.074714, 0.908145, 0.001, 3.6572
0, 5, 0.0024, -0.0002, 0.003, 0.0015, 0.000744, 1.07458, 0.908198, 0.001, 3.6364
0, 6, 0.0024, -0.0002, 0.003, 0.0015, 0.000744, 1.074601, 0.908189, 0.001, 3.6392
1, 1, 0.0472, -0.0061, 0.0757, 0.0189, 0.01028, 1.053548, 0.800328, 0.014, 5.6895
1, 2, 0.0362, -0.005, 0.0562, 0.014, 0.007481, 1.07904, 0.787126, 0.014, 5.3805
1, 3, 0.0272, -0.0033, 0.042, 0.0105, 0.005508, 1.102049, 0.772848, 0.014, 5.365
1, 4, 0.0196, -0.0039, 0.032, 0.008, 0.004157, 1.11857, 0.762882, 0.014, 5.3513
1, 5, 0.0152, -0.0011, 0.0233, 0.0058, 0.002986, 1.131525, 0.755634, 0.014, 5.3541
2, 1, 0.1499, 0.0367, 0.2973, 0.0372, 0.014433, 1.235949, 0.733132, 0.0588, 9.3344
2, 2, 0.0925, 0.0093, 0.1482, 0.0185, 0.009445, 1.261628, 0.718082, 0.0588, 9.4124
2, 3, 0.0739, 0.0066, 0.1192, 0.0149, 0.008064, 1.264328, 0.702162, 0.0588, 9.4161
2, 4, 0.0653, 0.0049, 0.108, 0.0135, 0.007607, 1.268373, 0.687727, 0.0588, 9.2976
3, 1, 0.0874, 0.0019, 0.1306, 0.0082, 0.004568, 1.344889, 0.664068, 0.2433, 20.8333
3, 2, 0.0642, 0.0019, 0.1043, 0.0065, 0.003812, 1.376622, 0.660966, 0.2433, 20.8359
3, 3, 0.0574, 0.0023, 0.0986, 0.0062, 0.00365, 1.3896, 0.661893, 0.2433, 21.0272
4, 1, 0.0841, 0.008, 0.1373, 0.0043, 0.002545, 1.37788, 0.654223, 1.0425, 76.0355
4, 2, 0.0662, 0.0066, 0.1197, 0.0037, 0.002474, 1.378974, 0.655808, 1.0425, 74.764
5, 1, 0.0928, 0.0125, 0.1831, 0.0029, 0.001649, 1.404819, 0.651751, 3.9263, 295.3886
5, 2, 0.0789, 0.0113, 0.1651, 0.0026, 0.001534, 1.402738, 0.651637, 3.9263, 295.5013
5, 3, 0.0753, 0.0116, 0.1618, 0.0025, 0.001512, 1.409572, 0.651125, 3.9263, 298.1083


Total Pre Processing Time(sec): 5.2859
Total Processing Time(sec): 1194.1335
