0.0000__64.0000, 0.5198__64.0000, 0.9933__64.0000, 1.6883__64.0000, 2.2764__64.0000, 3.4214__64.0000, 4.6089__64.0000, 6.8373__64.0000, 8.5649__64.0000, 9.7056__64.0000, 10.5947__64.0000, 11.5534__64.0000, 12.4171__64.0000, 13.3660__64.0000, 14.2808__64.0000, 15.3445__64.0000, 16.1191__64.0000, 17.0429__64.0000, 18.0097__64.0000, 18.9263__64.0000, 19.9560__64.0000, 20.8652__64.0000, 21.8815__64.0000, 22.8623__64.0000, 23.8710__64.0000, 24.8020__64.0000, 25.8457__64.0000, 26.9290__64.0000, 28.0343__64.0000, 29.1253__64.0000, 30.2133__64.0000, 31.2811__64.0000, 32.3410__64.0000, 33.3838__64.0000, 34.4122__64.0000, 35.4263__64.0000, 36.4188__64.0000, 37.3876__64.0000, 38.2770__64.0000, 39.1968__64.0000, 40.1587__64.0000, 41.1170__64.0000, 42.0662__64.0000, 43.0235__64.0000, 43.9984__64.0000, 44.9717__64.0000, 45.9520__64.0000, 46.9472__64.0000, 47.9456__64.0000, 48.9420__64.0000, 49.9454__64.0000, 50.9492__64.0000, 51.9589__64.0000, 52.9599__64.0000, 53.9706__64.0000, 54.9815__64.0000, 55.9913__64.0000, 56.9977__64.0000, 58.0044__64.0000, 59.0118__64.0000, 60.0130__64.0000, 61.0100__64.0000, 62.0078__64.0000, 62.9978__64.0000, 64.0000__64.0000, 
0.0000__63.1087, 0.5552__63.1361, 1.1259__63.1162, 1.7837__63.1449, 2.6293__63.0365, 3.4846__62.9927, 4.9541__62.9765, 6.8065__62.8391, 8.5054__62.9260, 9.7732__62.8217, 10.6129__62.7069, 11.5299__62.6894, 12.3887__62.7392, 13.4179__62.7209, 14.3735__62.6091, 15.3606__62.5334, 16.1107__62.5412, 17.0538__62.5465, 17.9820__62.5705, 19.0019__62.5226, 19.9029__62.4903, 20.8737__62.5272, 21.8505__62.5548, 22.8807__62.5573, 23.8239__62.5711, 24.7802__62.6270, 25.8169__62.6642, 26.9293__62.6892, 28.0418__62.6783, 29.1347__62.6632, 30.2215__62.6484, 31.2933__62.6315, 32.3522__62.6108, 33.3983__62.5877, 34.4257__62.5626, 35.4356__62.5391, 36.4169__62.5257, 37.3874__62.5153, 38.2805__62.5131, 39.2276__62.4900, 40.1562__62.4704, 41.1004__62.4889, 42.0592__62.5088, 43.0221__62.5161, 43.9897__62.5271, 44.9681__62.5394, 45.9515__62.5444, 46.9441__62.5489, 47.9450__62.5542, 48.9429__62.5538, 49.9418__62.5567, 50.9497__62.5602, 51.9537__62.5627, 52.9620__62.5663, 53.9716__62.5630, 54.9805__62.5625, 55.9863__62.5670, 56.9963__62.5722, 58.0035__62.5731, 59.0051__62.5792, 60.0127__62.5842, 61.0073__62.5861, 62.0030__62.5916, 62.9961__62.5979, 64.0000__62.6009, 
0.0000__61.5545, 0.6207__61.5460, 1.2982__61.5611, 2.0701__61.3802, 2.8684__61.3061, 3.7136__61.2086, 5.1929__61.1404, 6.7255__61.2718, 8.4670__61.1746, 9.6393__61.2743, 10.6599__61.3612, 11.5040__61.3356, 12.4161__61.3189, 13.4229__61.3238, 14.4770__61.3202, 15.3182__61.3380, 16.1810__61.3338, 17.0862__61.2636, 18.0496__61.1885, 19.0498__61.1571, 19.9865__61.0590, 20.7030__61.1324, 21.8514__61.2844, 22.8263__61.2641, 23.7250__61.3815, 24.7730__61.4463, 25.8183__61.4289, 26.9535__61.3970, 28.0473__61.3872, 29.1640__61.3689, 30.2467__61.3345, 31.3264__61.3002, 32.3968__61.2514, 33.4404__61.1945, 34.4672__61.1424, 35.4721__61.0885, 36.4421__61.0330, 37.3810__61.0029, 38.2994__60.9893, 39.2315__61.0009, 40.1633__61.0165, 41.0990__60.9981, 42.0439__60.9984, 42.9988__61.0352, 43.9779__61.0624, 44.9554__61.0729, 45.9425__61.0915, 46.9374__61.1024, 47.9339__61.1152, 48.9383__61.1287, 49.9392__61.1310, 50.9429__61.1369, 51.9504__61.1457, 52.9629__61.1434, 53.9718__61.1431, 54.9772__61.1452, 55.9821__61.1472, 56.9889__61.1515, 57.9980__61.1601, 58.9966__61.1644, 60.0024__61.1738, 60.9978__61.1871, 61.9989__61.1913, 62.9863__61.2003, 64.0000__61.2109, 
0.0000__59.5170, 0.5890__59.6377, 1.3834__59.7352, 2.2215__59.7644, 3.0148__59.5909, 3.9594__59.3578, 5.0183__59.3978, 6.5925__59.4655, 8.2009__59.7342, 9.4050__59.8907, 10.4863__59.9949, 11.5094__60.1193, 12.4422__60.1068, 13.4911__60.0199, 14.3691__60.0186, 15.2752__60.1170, 16.1943__60.1906, 17.2512__60.1122, 18.0975__59.9716, 19.0902__59.8979, 19.7903__59.9760, 20.7658__60.0434, 21.7285__59.9624, 22.7518__60.1335, 23.6854__60.1168, 24.7699__60.1485, 25.8826__60.1421, 26.9385__60.1378, 28.0931__60.1423, 29.1869__60.0849, 30.2978__60.0521, 31.3875__59.9820, 32.4657__59.9099, 33.5225__59.8237, 34.5442__59.7261, 35.5465__59.6298, 36.5003__59.5508, 37.4297__59.4534, 38.2931__59.4374, 39.2207__59.4603, 40.1380__59.4803, 41.0929__59.5270, 42.0236__59.5559, 42.9811__59.5635, 43.9506__59.5821, 44.9321__59.6256, 45.9238__59.6495, 46.9211__59.6747, 47.9189__59.6905, 48.9248__59.7006, 49.9289__59.7209, 50.9361__59.7286, 51.9455__59.7335, 52.9610__59.7400, 53.9674__59.7399, 54.9711__59.7451, 55.9777__59.7535, 56.9840__59.7568, 57.9863__59.7611, 58.9906__59.7718, 59.9875__59.7818, 60.9901__59.7883, 61.9918__59.7947, 62.9820__59.8054, 64.0000__59.8081, 
0.0000__58.0296, 0.5571__58.0293, 1.3043__58.1175, 2.1400__58.1133, 3.0615__58.1386, 3.9232__58.2620, 5.0757__58.2301, 6.4001__58.2264, 7.8305__58.4561, 9.2390__58.6789, 10.3581__58.7274, 11.3878__58.7952, 12.4420__58.8862, 13.4671__58.9492, 14.3652__58.9178, 15.1991__58.9034, 16.1968__58.9921, 17.3271__58.9191, 18.1637__58.8413, 19.0540__58.9317, 19.8576__58.7917, 20.6702__58.8409, 21.6650__59.1378, 22.7853__59.0078, 23.7522__58.9219, 24.7492__58.9165, 25.8688__58.9998, 27.0260__58.9508, 28.1274__58.8682, 29.2675__58.8373, 30.3737__58.7559, 31.4707__58.6879, 32.5769__58.5808, 33.6392__58.4508, 34.6759__58.3137, 35.6665__58.1626, 36.6100__58.0031, 37.5011__57.8742, 38.3264__57.8363, 39.1768__57.8874, 40.0998__57.9585, 41.0192__58.0112, 41.9817__58.0879, 42.9505__58.1537, 43.9195__58.1898, 44.9065__58.2021, 45.8966__58.2321, 46.8922__58.2696, 47.9084__58.2934, 48.9083__58.3101, 49.9158__58.3213, 50.9270__58.3360, 51.9383__58.3474, 52.9525__58.3535, 53.9610__58.3643, 54.9670__58.3682, 55.9740__58.3662, 56.9802__58.3698, 57.9800__58.3762, 58.9827__58.3801, 59.9819__58.3874, 60.9878__58.3890, 61.9815__58.3928, 62.9816__58.4077, 64.0000__58.4190, 
0.0000__56.8472, 0.5824__56.9119, 1.2833__56.9211, 2.0355__56.9712, 2.8989__57.1014, 3.8917__57.1917, 5.1589__57.2879, 6.3112__57.3077, 7.6705__57.3965, 9.1073__57.3538, 10.2416__57.4028, 11.2418__57.5869, 12.3847__57.7061, 13.3549__57.7257, 14.4245__57.7731, 15.1642__57.8211, 16.2306__57.8705, 17.2570__57.8975, 18.1382__57.9431, 19.0475__57.8235, 19.8630__57.9467, 20.5526__58.1239, 21.6843__58.0752, 22.9140__58.0768, 23.7698__58.0401, 24.8191__58.0825, 25.9647__57.9191, 27.0952__57.8359, 28.2858__57.7244, 29.3529__57.5427, 30.4609__57.5311, 31.6121__57.4252, 32.7151__57.2892, 33.8120__57.1308, 34.8628__56.9186, 35.8643__56.6808, 36.7704__56.4276, 37.6176__56.1838, 38.3502__56.1473, 39.1740__56.2561, 39.9949__56.3949, 40.9326__56.5529, 41.8875__56.6487, 42.8776__56.7329, 43.8831__56.7884, 44.8712__56.8467, 45.8701__56.8822, 46.8751__56.8863, 47.8863__56.8998, 48.8926__56.9247, 49.9104__56.9390, 50.9185__56.9484, 51.9321__56.9597, 52.9441__56.9673, 53.9566__56.9697, 54.9682__56.9686, 55.9748__56.9667, 56.9743__56.9678, 57.9808__56.9694, 58.9803__56.9685, 59.9813__56.9671, 60.9813__56.9727, 61.9783__56.9832, 62.9757__57.0010, 64.0000__57.0140, 
0.0000__56.1494, 0.5972__56.0875, 1.2589__56.1162, 2.0029__56.1912, 2.8622__56.2092, 3.8856__56.2827, 5.1369__56.3011, 6.2789__56.2938, 7.5711__56.3744, 9.0064__56.5580, 10.0994__56.5406, 11.1911__56.5160, 12.1608__56.7174, 13.3775__56.8368, 14.2523__56.8855, 15.2646__56.8977, 16.0978__56.9417, 17.2026__57.0991, 18.1303__57.0010, 18.9241__57.1330, 19.6966__57.3699, 20.7496__57.3203, 21.8175__57.1084, 22.8888__57.0296, 23.8379__57.0251, 24.9390__56.8390, 26.1097__56.8281, 27.2109__56.6880, 28.4167__56.5767, 29.4655__56.5297, 30.6242__56.3453, 31.7655__56.2106, 32.9034__56.0720, 34.0523__55.8414, 35.1498__55.5206, 36.1310__55.1467, 37.0456__54.7512, 37.8582__54.3866, 38.4519__54.2256, 39.0921__54.4432, 39.9204__54.8035, 40.7942__55.0643, 41.7967__55.2626, 42.8050__55.3354, 43.8171__55.4018, 44.8230__55.4501, 45.8386__55.4996, 46.8575__55.5512, 47.8676__55.5775, 48.8890__55.5643, 49.8997__55.5606, 50.9120__55.5786, 51.9327__55.5855, 52.9470__55.5816, 53.9595__55.5756, 54.9689__55.5704, 55.9752__55.5685, 56.9781__55.5671, 57.9803__55.5703, 58.9834__55.5714, 59.9828__55.5660, 60.9778__55.5606, 61.9735__55.5660, 62.9739__55.5902, 64.0000__55.6051, 
0.0000__55.6283, 0.7122__55.5564, 1.2595__55.4434, 2.0478__55.5247, 2.9476__55.5945, 3.9713__55.4716, 5.1118__55.4788, 6.3067__55.4412, 7.4389__55.4772, 8.7584__55.6640, 10.1136__55.6733, 10.9625__55.8225, 12.1297__55.8752, 13.1813__55.9575, 14.2240__56.0796, 15.2481__56.0997, 16.0972__56.1291, 17.1432__56.0587, 18.0266__56.2884, 18.7934__56.4216, 19.7868__56.3166, 20.8394__56.2871, 21.9977__56.2389, 22.8481__56.1997, 24.0476__56.1512, 25.1006__56.0215, 26.2169__55.8143, 27.3833__55.6968, 28.4682__55.6060, 29.6428__55.4195, 30.8027__55.2715, 31.9493__55.0797, 33.1294__54.8609, 34.3532__54.5870, 35.5150__54.1110, 36.5972__53.4301, 37.4686__52.9147, 38.0888__52.6767, 38.6989__52.5484, 39.2107__52.4859, 39.8034__52.9542, 40.7064__53.6572, 41.7148__53.8975, 42.7569__53.9911, 43.7624__54.0300, 44.7743__54.0882, 45.7919__54.1404, 46.8138__54.1809, 47.8536__54.2115, 48.8818__54.2346, 49.8972__54.2341, 50.9128__54.2101, 51.9347__54.2027, 52.9492__54.2036, 53.9695__54.2006, 54.9771__54.1936, 55.9841__54.1832, 56.9822__54.1799, 57.9863__54.1801, 58.9882__54.1732, 59.9875__54.1716, 60.9817__54.1737, 61.9742__54.1730, 62.9736__54.1900, 64.0000__54.2093, 
0.0000__54.8447, 0.6937__54.9064, 1.3738__54.9758, 2.0543__55.0143, 3.1694__54.9824, 4.0841__54.8938, 5.1653__54.8341, 6.3619__54.7384, 7.3252__54.7433, 8.6970__54.7211, 9.8374__54.8900, 10.8729__55.0177, 11.9801__55.1591, 12.9885__55.4154, 14.2275__55.4345, 15.0707__55.5496, 16.1725__55.6338, 17.1124__55.6084, 18.0058__55.4608, 18.8658__55.3145, 19.9272__55.3550, 20.9696__55.1848, 21.9637__55.1681, 22.9935__55.1193, 24.1316__54.9784, 25.2810__54.8196, 26.3912__54.6726, 27.4686__54.5493, 28.6450__54.4113, 29.7928__54.2780, 30.9781__54.0954, 32.1664__53.8959, 33.3546__53.6856, 34.5722__53.4344, 35.8599__52.7401, 36.9254__51.7959, 37.6040__51.4438, 38.2506__51.1925, 38.8380__50.8323, 39.3638__50.7660, 39.8847__51.3980, 40.6549__52.2514, 41.7127__52.6089, 42.7099__52.5935, 43.7172__52.6816, 44.7247__52.7318, 45.7487__52.7916, 46.7833__52.8407, 47.8243__52.8679, 48.8587__52.8763, 49.8972__52.8807, 50.9202__52.8948, 51.9397__52.8898, 52.9602__52.8639, 53.9766__52.8417, 54.9867__52.8377, 55.9996__52.8310, 57.0023__52.8098, 58.0019__52.7901, 58.9993__52.7828, 59.9921__52.7800, 60.9880__52.7769, 61.9833__52.7738, 62.9742__52.7994, 64.0000__52.8228, 
0.0000__54.4795, 0.7538__54.3331, 1.3465__54.2544, 2.2481__54.1911, 3.1534__54.1185, 4.1218__54.1507, 5.2385__53.9961, 6.2266__53.9667, 7.3311__53.9590, 8.5272__53.9953, 9.6272__54.0921, 10.7345__54.2879, 11.7344__54.5231, 12.8750__54.6822, 14.0925__54.9539, 15.1253__54.8640, 16.0652__54.7875, 17.1336__54.9064, 18.2440__54.8553, 19.0966__54.5794, 20.1405__54.1909, 21.0059__54.1581, 22.0761__54.1234, 23.1655__53.9558, 24.3294__53.7867, 25.4388__53.5959, 26.5312__53.4513, 27.6551__53.3237, 28.7616__53.2645, 29.9873__53.1241, 31.1710__52.9159, 32.3547__52.7233, 33.5339__52.5355, 34.6993__52.2831, 36.0096__51.7336, 37.1179__51.0181, 37.6524__50.5953, 38.3077__50.4461, 38.8820__50.1103, 39.4642__49.6427, 39.8055__50.4165, 40.5683__51.2258, 41.7083__51.2155, 42.6892__51.2698, 43.6710__51.3308, 44.6752__51.4083, 45.7057__51.4991, 46.7553__51.5443, 47.8046__51.5665, 48.8497__51.5736, 49.8813__51.5809, 50.9135__51.5798, 51.9497__51.5770, 52.9778__51.5777, 53.9918__51.5640, 55.0085__51.5177, 56.0215__51.4763, 57.0253__51.4614, 58.0252__51.4432, 59.0232__51.4189, 60.0109__51.4025, 61.0025__51.3954, 61.9923__51.3989, 62.9782__51.4243, 64.0000__51.4447, 
0.0000__53.4645, 0.8099__53.5800, 1.3973__53.4972, 2.2712__53.4574, 3.0582__53.4803, 4.0912__53.3880, 5.1372__53.4688, 6.1671__53.5263, 7.2156__53.5709, 8.4975__53.6044, 9.4807__53.6424, 10.5398__53.8410, 11.6468__53.9739, 12.7530__54.0599, 13.9928__53.9719, 15.1856__54.0976, 16.0232__54.1132, 17.1967__53.9942, 18.2854__53.8558, 19.4770__53.6373, 20.3225__53.4564, 21.1956__53.2191, 22.3025__52.9909, 23.3868__52.8013, 24.5261__52.6200, 25.5678__52.5406, 26.7237__52.4076, 27.7438__52.3316, 28.9758__52.1969, 30.1771__51.9493, 31.3696__51.7645, 32.5451__51.5457, 33.6985__51.3375, 34.8667__51.1054, 35.9689__50.6249, 37.1522__50.0174, 37.6463__49.9956, 38.1844__50.0380, 38.9866__49.5689, 39.5104__48.9191, 39.8213__49.2942, 40.8321__49.9568, 41.7565__49.9743, 42.6488__49.9004, 43.6330__50.0459, 44.6440__50.1157, 45.6807__50.2376, 46.7357__50.2851, 47.7925__50.2975, 48.8364__50.3048, 49.8759__50.3115, 50.9177__50.3066, 51.9507__50.2964, 52.9824__50.2812, 54.0189__50.2569, 55.0431__50.2363, 56.0506__50.2109, 57.0535__50.1563, 58.0599__50.0973, 59.0456__50.0776, 60.0424__50.0637, 61.0252__50.0434, 62.0082__50.0327, 62.9876__50.0579, 64.0000__50.0829, 
