0.0000__16.0000, 0.9742__16.0000, 2.0511__16.0000, 3.1085__16.0000, 4.2853__16.0000, 5.2875__16.0000, 6.3891__16.0000, 7.1949__16.0000, 7.7527__16.0000, 9.1625__16.0000, 9.9274__16.0000, 11.0459__16.0000, 12.0349__16.0000, 13.4886__16.0000, 13.9940__16.0000, 15.3752__16.0000, 16.0000__16.0000, 
0.0000__15.0649, 1.0488__14.9904, 2.0080__14.9589, 3.1637__14.9491, 4.2968__14.9006, 5.1728__15.0043, 6.4483__15.0422, 7.1044__15.1059, 8.0099__14.9669, 8.8496__14.9759, 10.1855__15.0186, 10.8974__14.9369, 12.2382__14.9070, 13.2920__14.9561, 14.1848__14.9479, 15.2235__14.9254, 16.0000__15.0670, 
0.0000__13.7682, 1.0248__13.8686, 2.1176__13.8217, 3.1837__13.7346, 4.1172__13.9449, 5.2164__13.9686, 6.3251__14.0368, 7.0948__14.0947, 8.0958__14.1642, 8.9164__13.9925, 10.0829__13.9873, 10.9052__14.1679, 12.3131__14.0737, 13.2885__13.9778, 14.2709__13.9056, 15.0649__14.0237, 16.0000__14.0395, 
0.0000__12.7972, 0.9851__12.7367, 2.1434__12.7477, 3.0257__12.9682, 4.1833__12.8604, 5.1192__12.8777, 6.1926__13.0676, 7.1349__13.1058, 7.8867__13.2089, 9.2279__13.2481, 9.8683__13.1557, 11.0732__13.0357, 12.1520__13.1104, 13.5030__13.1223, 14.1992__13.0989, 15.1184__13.0157, 16.0000__12.9409, 
0.0000__12.1974, 1.1817__12.0268, 2.0683__11.9029, 2.8826__11.9111, 4.2620__12.0622, 5.0180__12.0698, 6.1706__12.0569, 6.8869__12.3140, 8.0230__12.2959, 9.1001__12.2652, 10.0897__12.2734, 11.0326__12.1653, 12.2609__12.0242, 13.3710__12.0665, 14.1603__12.2353, 15.2866__12.1539, 16.0000__12.0728, 
0.0000__10.9526, 1.1663__11.1484, 2.1716__11.1865, 3.0379__10.9491, 4.0203__10.9192, 5.0908__11.0482, 5.8774__11.2913, 7.0111__11.1792, 8.0317__10.9958, 8.9197__11.1599, 10.2840__11.1057, 11.0988__10.9349, 12.2882__10.9912, 13.2423__11.0929, 14.1668__11.0012, 15.2898__11.0749, 16.0000__11.1683, 
0.0000__9.9612, 1.0880__9.8532, 2.1464__9.9026, 3.0685__10.1448, 3.9874__10.1804, 4.9412__10.2237, 5.8657__10.1187, 7.1348__10.1597, 7.9574__10.3330, 9.1992__9.9838, 10.0263__10.0345, 11.4568__10.0840, 12.1008__9.9336, 13.3359__9.9895, 14.1215__10.0565, 15.1701__10.2040, 16.0000__10.2395, 
0.0000__8.9776, 1.1233__9.0460, 2.0084__9.1172, 2.9313__9.1495, 3.9007__9.3110, 5.0349__9.2656, 5.9891__9.1547, 6.8456__9.2197, 8.2720__8.9553, 9.0035__9.2116, 10.3728__9.0288, 11.1614__9.1275, 12.3737__9.2737, 13.1376__9.1541, 14.2019__9.2085, 15.0089__9.1281, 16.0000__9.2682, 
0.0000__7.8332, 0.9088__7.9592, 1.9027__8.2094, 2.8913__8.3400, 3.9339__8.1653, 4.9922__8.2272, 6.1394__8.2607, 6.9776__7.9305, 8.1183__8.2144, 9.1695__7.9460, 10.1368__8.0994, 11.1256__8.2545, 12.2480__8.1335, 13.2540__8.2484, 14.1888__8.1127, 15.0437__8.1533, 16.0000__7.9694, 
0.0000__7.0897, 0.8335__7.0322, 1.6957__7.0117, 2.8941__7.0812, 3.9875__7.2655, 4.9347__7.2051, 6.2142__7.2141, 7.0918__7.3689, 8.1380__6.9422, 9.2856__7.1692, 10.0088__7.0412, 11.0707__6.9898, 12.1499__7.2542, 13.2528__7.2408, 14.1694__7.4302, 15.1946__7.2377, 16.0000__7.2610, 
0.0000__6.2592, 0.9351__6.2386, 1.8169__6.0373, 2.8031__5.8969, 3.8062__5.9432, 5.0111__6.1076, 6.0336__6.1907, 7.2895__5.9109, 8.2243__6.0297, 8.9923__6.0426, 10.3400__6.0997, 10.9147__5.9867, 12.1412__6.0085, 13.1521__6.1330, 14.1684__6.0067, 15.1316__6.3028, 16.0000__6.3567, 
