0.0000__32.0000, 0.0000__32.0000, 0.0698__32.0000, 31.9896__32.0000, 31.9931__32.0000, 31.9909__32.0000, 31.9953__32.0000, 31.9900__32.0000, 31.9965__32.0000, 31.9945__32.0000, 31.9936__32.0000, 31.9681__32.0000, 31.9923__32.0000, 31.9902__32.0000, 31.9914__32.0000, 31.9914__32.0000, 31.9712__32.0000, 31.9897__32.0000, 31.9904__32.0000, 31.9955__32.0000, 31.9954__32.0000, 31.9962__32.0000, 31.9903__32.0000, 31.9954__32.0000, 31.9897__32.0000, 31.9946__32.0000, 31.9908__32.0000, 31.9907__32.0000, 31.9908__32.0000, 31.9975__32.0000, 31.9910__32.0000, 31.9916__32.0000, 32.0000__32.0000, 
0.0000__31.9996, 0.0061__31.9796, 0.0004__31.8261, 31.8859__21.6807, 30.6030__9.6101, 31.5005__10.8531, 31.9912__14.3506, 31.1111__10.0774, 31.2404__9.5800, 30.1611__9.2330, 30.9309__8.9489, 31.9813__18.6282, 31.8099__10.2683, 30.1442__9.4147, 31.9637__11.0940, 31.2447__10.2211, 31.8030__9.6712, 31.2438__9.7272, 29.7710__8.9806, 31.9651__7.8794, 31.3055__12.7970, 30.0969__9.1918, 31.8895__10.8008, 24.6459__18.2443, 30.9505__9.8844, 31.4877__9.6280, 31.3774__9.7448, 29.5829__9.1421, 30.6046__9.2101, 31.9728__18.7627, 31.9771__15.2195, 31.7740__13.4625, 32.0000__32.0000, 
0.0000__31.7797, 0.0025__31.3457, 0.0307__31.8218, 0.0731__31.9997, 29.3497__3.2685, 31.9752__15.3296, 31.8318__10.1127, 31.1677__8.0840, 31.8268__12.6133, 29.7544__8.8306, 31.7885__15.1087, 31.6124__9.9988, 30.5191__8.8905, 31.9638__13.7383, 31.5061__12.7014, 31.6328__10.0958, 31.4414__9.5482, 30.7193__9.4688, 31.9905__11.2252, 31.0128__9.9665, 31.7976__10.1864, 30.1540__6.9449, 31.4698__20.2883, 31.9387__10.1914, 31.4926__9.8144, 31.9556__14.7594, 30.4486__8.5517, 31.6941__11.7726, 31.8667__12.8116, 30.0819__9.0654, 0.0019__25.0066, 31.9337__15.5397, 32.0000__31.9998, 
0.0000__31.6408, 0.0026__31.5118, 31.9985__12.6770, 31.8886__10.9677, 31.0448__9.5055, 31.5541__10.2615, 31.1262__10.3201, 31.9909__11.8314, 31.9784__18.0229, 30.7291__9.6682, 31.8461__29.5506, 31.8690__17.0326, 0.9518__2.1364, 30.5886__9.9033, 31.9818__10.5072, 31.6444__9.8450, 29.9938__9.0213, 31.9396__16.4385, 31.9267__12.7641, 31.1991__7.8628, 28.6297__7.8601, 31.9723__2.7424, 31.7222__5.4520, 31.9110__16.6665, 30.4223__9.4460, 31.2603__4.5858, 31.9083__9.9014, 28.6155__8.0528, 29.4618__8.3222, 29.9628__9.0653, 31.9581__10.6403, 30.3199__9.4890, 32.0000__31.9996, 
0.0000__2.4740, 0.0126__11.2419, 29.8355__8.8731, 31.3277__7.0886, 0.0148__10.7778, 25.4947__7.7934, 30.9433__10.4120, 31.8260__14.6230, 31.9508__10.2753, 30.4357__9.8034, 29.9739__9.3968, 29.4480__7.9350, 30.9530__9.5151, 31.9275__12.6195, 31.8472__10.0440, 31.6858__4.9252, 29.5233__8.6217, 16.5026__5.8611, 30.1201__9.1929, 31.2230__13.3181, 30.3135__10.2698, 31.9025__10.2780, 31.9931__14.1386, 29.9093__9.1701, 31.9887__15.2920, 31.3948__9.9805, 30.1738__8.8586, 31.7709__10.3227, 31.6353__9.5609, 31.6459__14.4952, 31.6223__10.0449, 30.6140__9.3215, 32.0000__31.9977, 
0.0000__15.8654, 0.0313__26.9965, 24.4538__6.2058, 29.7013__9.9926, 30.1251__9.2323, 31.8575__10.4945, 30.5262__10.4783, 31.9910__15.7050, 29.8809__8.3571, 30.0669__9.7492, 31.9908__11.0353, 29.1084__7.5599, 30.2828__8.9587, 30.6704__9.4074, 0.0077__24.8920, 31.8132__29.9095, 31.7458__9.5544, 31.9375__10.5001, 31.5105__13.2302, 31.9983__9.1225, 31.9666__28.4415, 31.9979__11.9622, 31.2199__7.8469, 31.5884__9.8742, 31.2177__9.7159, 31.4624__16.5736, 31.9114__10.1029, 29.8541__9.1298, 30.7970__9.3738, 31.9965__12.0073, 30.6618__10.1713, 31.9804__11.6192, 32.0000__31.9956, 
0.0000__3.0319, 31.9807__11.2827, 16.4391__2.6438, 0.0340__10.2981, 31.6327__10.0865, 31.3229__17.3103, 31.9932__12.7057, 30.4573__7.9357, 31.9923__9.8644, 31.9718__11.0907, 30.7903__10.0451, 30.0854__9.0697, 30.8165__9.4689, 31.6134__10.5554, 31.9536__10.4229, 31.9176__16.2851, 31.6218__3.2222, 22.2347__0.1228, 25.4139__5.2659, 31.4218__10.0730, 31.9885__21.8299, 31.9265__15.5989, 31.7082__9.8539, 20.1903__2.2419, 31.8469__11.2161, 31.8180__10.3013, 30.2140__7.5929, 25.0578__4.4414, 28.0043__7.4377, 29.9979__9.0581, 31.2905__7.5800, 31.9135__11.3547, 32.0000__31.9956, 
0.0000__2.0026, 31.9185__3.6941, 31.4940__14.6905, 31.9634__17.8102, 29.6898__8.5359, 30.6406__11.1367, 23.7052__19.1906, 31.9971__11.1709, 31.9816__11.8845, 30.9590__9.7521, 31.6639__9.6508, 31.4225__17.0385, 30.9356__9.7562, 31.0669__9.7591, 31.6468__9.5898, 31.3179__9.7952, 31.9391__13.9262, 31.4124__9.7082, 31.0118__9.9128, 30.7224__9.4622, 31.8696__11.0711, 31.7355__12.7174, 31.9081__10.9920, 31.5611__10.9836, 28.0896__7.5966, 31.2316__9.7555, 29.7388__8.8366, 31.2594__9.6203, 31.9230__23.5292, 31.6290__12.5661, 31.5019__7.8562, 31.1704__12.6255, 32.0000__31.9957, 
0.0000__7.6547, 26.8839__6.7475, 31.9553__22.5073, 31.9659__28.9389, 30.8473__10.4307, 30.9595__14.3394, 30.6012__8.6343, 31.2832__11.9691, 31.9211__26.1807, 31.5446__9.9992, 31.9989__13.9303, 31.5453__10.5972, 30.6902__9.4824, 30.9913__11.7347, 31.8504__9.9324, 29.6740__9.0679, 31.9006__10.2944, 31.9639__9.9881, 29.4299__10.4441, 29.7699__9.0708, 29.8182__9.8296, 30.4460__10.1558, 31.4260__11.8072, 29.6551__11.9244, 30.4395__11.3772, 30.1359__8.3959, 30.6041__9.1302, 31.8291__14.3664, 31.8432__14.6417, 31.8297__9.7147, 31.8076__10.9551, 29.4616__7.5763, 32.0000__31.9960, 
0.0000__7.4243, 0.0629__6.8702, 31.9969__12.3782, 31.8556__11.7240, 30.2047__9.3349, 31.9541__8.5909, 31.9897__13.5728, 30.2507__9.1803, 18.9173__4.2911, 29.8745__9.2993, 31.3425__19.8852, 29.8856__7.4665, 29.2851__8.6066, 29.7965__8.7035, 27.3715__9.9283, 30.1262__9.0052, 0.0266__28.9278, 31.4528__4.7954, 31.3156__10.5534, 30.8968__9.5513, 31.8909__23.2572, 31.9440__10.2045, 31.8304__12.6736, 31.9325__10.2862, 31.8959__10.8269, 29.6836__8.1712, 31.8595__10.6079, 31.3579__15.5799, 29.7888__9.2253, 29.8877__8.2916, 31.9662__10.8084, 30.7138__9.5487, 32.0000__31.7474, 
