Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Average Aspect Ratio (height/width),Average Aspect Ratio min(height/width)/max(height/width), Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0236, -0.0042, 0.0333, 0.0167, 0.008446, 1.06396, 0.899292, 0.001, 3.7949
0, 2, 0.006, 0.0011, 0.0077, 0.0039, 0.001933, 1.084589, 0.897803, 0.001, 3.9717
0, 3, 0.0012, 0.0002, 0.0014, 0.0007, 0.00035, 1.078281, 0.900209, 0.001, 3.7226
0, 4, 0.0012, 0.0002, 0.0014, 0.0007, 0.00035, 1.079278, 0.899825, 0.001, 3.9795
0, 5, 0.0012, 0.0002, 0.0014, 0.0007, 0.00035, 1.079118, 0.899887, 0.001, 3.777
0, 6, 0.0012, 0.0002, 0.0014, 0.0007, 0.00035, 1.079143, 0.899877, 0.001, 3.7831
1, 1, 0.0699, 0.006, 0.0715, 0.0179, 0.008851, 1.053267, 0.868283, 0.016, 6.4489
1, 2, 0.0379, 0.0052, 0.041, 0.0103, 0.005111, 1.051603, 0.866044, 0.016, 5.7045
1, 3, 0.0224, 0.0027, 0.026, 0.0065, 0.003284, 1.052993, 0.867274, 0.016, 5.7095
1, 4, 0.0132, 0.0005, 0.0191, 0.0048, 0.002448, 1.052338, 0.861574, 0.016, 5.7107
1, 5, 0.0123, 0.0015, 0.0183, 0.0046, 0.002348, 1.050289, 0.857665, 0.016, 5.7266
2, 1, 0.1161, 0.0689, 0.281, 0.0351, 0.012728, 1.132468, 0.777152, 0.0568, 9.8527
2, 2, 0.081, 0.0562, 0.2126, 0.0266, 0.00993, 1.121184, 0.771022, 0.0568, 9.7478
2, 3, 0.0786, 0.0564, 0.2106, 0.0263, 0.0098, 1.127113, 0.772745, 0.0568, 9.742
2, 4, 0.0776, 0.0568, 0.2094, 0.0262, 0.009724, 1.128187, 0.772492, 0.0568, 9.6455
3, 1, 0.072, 0.0337, 0.1545, 0.0097, 0.004324, 1.177107, 0.752762, 0.2414, 20.9627
3, 2, 0.0596, 0.0329, 0.141, 0.0088, 0.004037, 1.171069, 0.750296, 0.2414, 21.5925
3, 3, 0.0573, 0.032, 0.1389, 0.0087, 0.003997, 1.170244, 0.749487, 0.2414, 22.4489
4, 1, 0.0709, 0.0387, 0.1632, 0.0051, 0.00235, 1.184859, 0.74537, 0.9764, 75.3785
4, 2, 0.0621, 0.0354, 0.1521, 0.0048, 0.002213, 1.19295, 0.743063, 0.9764, 76.4191
5, 1, 0.083, 0.0398, 0.2009, 0.0031, 0.001335, 1.216117, 0.734694, 3.8648, 297.1898
5, 2, 0.0724, 0.0395, 0.1913, 0.003, 0.001241, 1.2187, 0.733312, 3.8648, 302.4827
5, 3, 0.0693, 0.0393, 0.1929, 0.003, 0.001224, 1.218586, 0.732108, 3.8648, 293.2602


Total Pre Processing Time(sec): 5.1564
Total Processing Time(sec): 1206.2076
