0.0000__16.0000, 0.7018__16.0000, 2.0033__16.0000, 2.9486__16.0000, 4.2847__16.0000, 5.2540__16.0000, 6.2972__16.0000, 7.1150__16.0000, 8.2991__16.0000, 9.0905__16.0000, 10.2354__16.0000, 11.1136__16.0000, 11.8416__16.0000, 13.1355__16.0000, 14.1185__16.0000, 14.9387__16.0000, 16.0000__16.0000, 
0.0000__15.1457, 0.8383__15.0147, 1.8919__14.9714, 3.2146__14.8420, 4.0927__14.8241, 5.2349__15.0179, 6.3523__14.9529, 7.2019__14.8420, 8.0479__15.0130, 9.3769__14.9506, 9.9755__14.9343, 11.1359__15.1752, 12.0343__14.9558, 12.9533__14.9336, 14.1412__15.0812, 15.0208__14.9719, 16.0000__14.8970, 
0.0000__14.0421, 0.9919__14.0430, 2.0543__13.7631, 3.0910__13.8747, 4.0989__13.9996, 5.1549__13.8548, 6.4203__13.9019, 7.1956__13.9838, 8.1713__13.7654, 9.1544__13.9721, 10.1657__14.0196, 10.9840__13.7288, 12.0898__14.0376, 12.9792__13.9729, 14.1661__13.8024, 15.0712__13.8619, 16.0000__13.8985, 
0.0000__12.7473, 0.9971__12.7221, 2.1782__12.7672, 2.8126__12.8120, 4.1571__12.9529, 5.3729__12.8064, 6.2544__12.7930, 7.1593__12.9089, 8.1765__13.1373, 9.1231__12.9686, 10.2278__12.8856, 11.0721__13.0118, 11.9915__12.7618, 13.1460__12.7659, 14.0512__12.8605, 14.9012__13.0777, 16.0000__13.2262, 
0.0000__12.1382, 1.0937__12.0300, 2.0676__12.0158, 3.0676__11.9040, 4.0996__11.6384, 5.2739__11.9118, 6.2714__11.9926, 7.0463__11.9665, 8.1136__11.8962, 9.2698__12.0032, 10.1478__12.0127, 11.1765__11.8284, 12.0634__11.8996, 13.0208__11.9493, 13.9913__12.0273, 14.7485__12.0158, 16.0000__12.0202, 
0.0000__10.6296, 0.8790__10.8875, 2.2590__10.9008, 3.0088__10.9449, 4.2230__11.0957, 5.0097__10.9921, 6.3556__11.0817, 7.0835__10.9769, 8.2109__10.9416, 9.0634__10.9702, 10.2701__11.0132, 11.1811__11.0641, 12.1048__10.9618, 12.9762__10.9156, 13.9076__10.9665, 14.8564__10.9897, 16.0000__10.8568, 
0.0000__10.1293, 0.9486__9.8140, 2.1057__9.8724, 2.9208__10.0690, 4.2381__9.8999, 5.0120__10.0073, 6.2225__10.0725, 7.2852__10.0683, 8.1060__10.0360, 9.0841__10.1043, 10.2144__10.0929, 11.2673__10.0141, 11.9692__10.1517, 13.1688__10.1312, 13.8123__9.9974, 14.9769__9.9478, 16.0000__9.9256, 
0.0000__8.7523, 1.1315__8.8814, 1.8476__8.9120, 3.1657__8.7743, 3.9679__8.9782, 5.1126__9.0114, 6.0530__8.9886, 7.2367__9.2015, 8.1073__9.2838, 9.1630__9.0826, 10.1490__9.0654, 11.1503__9.3860, 12.1477__9.1365, 12.9308__9.1916, 14.0307__9.3570, 15.0473__9.0646, 16.0000__9.0111, 
0.0000__7.4865, 0.8348__7.6272, 2.0238__7.7169, 2.9713__7.8263, 3.9191__7.8661, 5.0274__7.9652, 6.1358__7.9757, 7.0216__7.9231, 8.0612__8.0606, 9.2928__8.1543, 10.1293__8.0681, 10.9522__7.9481, 12.2882__8.2854, 12.9239__8.1119, 13.9481__7.9830, 15.1883__8.2473, 16.0000__8.1993, 
0.0000__6.8189, 0.8668__6.7008, 1.9322__6.7011, 2.9487__6.6866, 3.9166__6.6997, 4.9460__6.7074, 6.0019__6.8567, 6.9764__7.0859, 8.1112__6.9363, 9.1958__6.9378, 10.1218__7.1434, 11.0846__7.1422, 12.0153__7.0174, 13.1466__7.2668, 13.8666__7.2322, 15.0642__7.2301, 16.0000__7.4492, 
0.0000__5.9843, 0.9397__6.0536, 1.9928__5.9354, 3.0012__5.8559, 3.8501__5.8598, 4.8517__6.0113, 6.0138__5.9536, 6.9621__5.7384, 8.0371__5.9539, 9.0392__6.2007, 10.1617__6.0982, 11.0469__6.0983, 12.0034__6.2698, 13.0979__6.0733, 13.8623__6.1346, 14.9042__6.2676, 16.0000__6.2019, 
