0.0000__64.0000, 0.8306__64.0000, 2.1873__64.0000, 2.5241__64.0000, 4.0641__64.0000, 4.6419__64.0000, 6.2617__64.0000, 6.4487__64.0000, 8.4798__64.0000, 8.6533__64.0000, 10.0157__64.0000, 10.4980__64.0000, 12.1884__64.0000, 13.2704__64.0000, 13.8676__64.0000, 15.2892__64.0000, 15.9667__64.0000, 16.2934__64.0000, 17.9627__64.0000, 18.6921__64.0000, 19.2748__64.0000, 20.9155__64.0000, 22.2569__64.0000, 23.0246__64.0000, 23.7571__64.0000, 25.1498__64.0000, 25.9625__64.0000, 27.9536__64.0000, 28.2378__64.0000, 29.8645__64.0000, 30.4448__64.0000, 31.0356__64.0000, 31.9560__64.0000, 33.0101__64.0000, 33.8957__64.0000, 34.3980__64.0000, 35.9191__64.0000, 37.5979__64.0000, 38.0127__64.0000, 38.7536__64.0000, 40.0317__64.0000, 41.2830__64.0000, 41.8442__64.0000, 42.9328__64.0000, 44.4142__64.0000, 45.0375__64.0000, 45.7698__64.0000, 46.6547__64.0000, 47.5786__64.0000, 48.4244__64.0000, 49.5434__64.0000, 50.6340__64.0000, 52.1392__64.0000, 52.6682__64.0000, 54.3373__64.0000, 55.0767__64.0000, 56.6013__64.0000, 57.2234__64.0000, 57.9071__64.0000, 58.9222__64.0000, 59.7641__64.0000, 61.1596__64.0000, 62.0659__64.0000, 63.0861__64.0000, 64.0000__64.0000, 
0.0000__62.9936, 0.9344__62.8818, 2.0059__62.9986, 2.5169__63.1200, 4.1138__63.0784, 4.8622__62.8982, 5.9690__63.2524, 7.1100__62.9716, 8.0374__62.7977, 8.8997__62.8917, 9.5934__62.8870, 11.1017__62.7357, 11.7141__62.5668, 13.2846__62.9884, 13.9004__62.9571, 15.0535__63.1135, 15.8613__63.5530, 16.8296__63.1945, 17.7324__62.7913, 18.4739__63.2028, 19.5831__63.1716, 20.8394__62.8545, 22.2929__62.9372, 22.9271__62.9873, 24.0945__62.7763, 24.5398__62.8391, 26.4397__62.9443, 27.2531__63.2314, 28.5958__63.2810, 29.4378__63.0286, 30.4638__63.3147, 30.9360__63.3211, 31.9792__63.3643, 33.1093__63.1883, 33.7941__63.3175, 34.9342__63.0614, 35.7988__62.6675, 37.2833__63.2307, 38.3065__63.1703, 38.9414__62.6861, 39.8349__62.6485, 41.1805__62.9463, 41.7437__63.1203, 43.2472__62.8792, 43.9952__63.0919, 45.0686__63.4224, 45.8956__63.2245, 46.6961__63.0711, 47.6069__62.9930, 48.2148__63.0824, 49.6199__63.2378, 50.7436__63.0850, 52.0897__63.0986, 52.9241__62.9357, 54.1062__62.8611, 55.1807__62.9758, 56.2083__63.1905, 57.4527__63.2838, 57.9565__63.0340, 58.8777__63.0915, 59.8756__63.0343, 61.1980__62.8524, 61.8079__63.0631, 63.3645__63.0609, 64.0000__62.8800, 
0.0000__62.3537, 1.1057__62.2504, 1.8733__62.1406, 2.9692__61.7230, 3.7700__61.7040, 4.9958__62.0324, 5.9684__61.5874, 6.9686__62.0030, 8.0987__62.2017, 8.9205__62.1501, 9.6608__62.0057, 11.2153__61.8785, 11.6598__61.9131, 12.8951__62.0100, 14.0897__62.2264, 14.7142__62.1855, 15.6781__62.2551, 17.3197__62.2705, 17.6326__62.3083, 18.5254__62.0599, 19.9379__61.6640, 20.6824__61.6937, 22.0673__62.1612, 23.2329__61.9577, 23.8573__62.2358, 25.1726__61.9241, 26.0920__61.6656, 27.3312__61.7451, 27.8582__61.7100, 29.7191__62.1918, 29.9250__62.1126, 31.6431__62.0809, 32.0974__61.5964, 32.8546__61.8679, 34.1250__61.6708, 34.9377__61.7494, 35.8919__61.9487, 37.0886__61.5488, 38.2442__61.9979, 39.4364__62.0173, 39.7877__61.8026, 40.8485__62.0401, 42.1232__61.7861, 42.9285__61.7642, 43.8502__62.0506, 44.8154__61.9995, 46.1126__62.3471, 46.7705__62.3151, 47.7494__62.2615, 48.3656__61.9243, 49.2670__61.8261, 50.9482__62.1068, 52.0102__62.0465, 53.1953__62.0202, 54.0026__61.9086, 55.0278__62.1222, 56.4182__61.8190, 57.2928__61.9002, 58.1194__62.1645, 58.9207__61.9376, 59.8541__61.8871, 61.1697__62.0624, 61.7129__61.9789, 63.3125__62.1849, 64.0000__62.5097, 
0.0000__60.6874, 0.9586__60.9779, 2.2590__60.8872, 2.8923__61.0660, 3.6581__61.3230, 5.2440__60.8060, 5.8030__61.0200, 6.7627__61.0084, 7.9563__60.9877, 8.7933__61.4163, 10.0723__61.1027, 10.8811__61.1587, 12.0294__61.0076, 12.6038__60.8142, 14.0500__61.0022, 14.7498__61.1442, 15.9666__60.8616, 16.8099__61.2071, 18.1056__61.1031, 18.7614__60.6837, 19.9079__60.8041, 20.6787__60.7152, 21.8470__60.5312, 23.0870__61.1122, 24.1543__60.6738, 25.2065__61.1129, 26.2845__61.0634, 27.2644__61.2556, 28.2751__60.9149, 29.3201__60.9853, 30.5864__60.9514, 31.2862__60.7056, 32.2171__61.3400, 32.8862__60.9232, 33.9232__61.1143, 34.7692__61.3533, 36.1449__60.8370, 37.0112__60.9237, 38.1824__60.7039, 39.2221__60.6971, 39.7490__61.2538, 40.9834__60.8794, 42.2814__60.9194, 42.9058__60.8194, 43.7490__60.7979, 44.9041__60.8522, 45.7625__60.8165, 46.7284__61.2018, 47.9905__61.0949, 48.4945__61.2454, 49.6819__60.8701, 50.6301__60.5697, 51.9027__61.0234, 53.1606__61.1642, 54.1719__61.0873, 54.9139__60.8153, 56.5800__61.0392, 57.1588__61.0733, 57.9138__61.1543, 58.9434__61.5539, 60.0811__61.2726, 60.8260__61.2213, 62.1899__61.1923, 62.7109__61.0693, 64.0000__61.2934, 
0.0000__59.7923, 0.8192__59.6936, 2.1622__59.8809, 2.7094__59.9222, 4.0038__59.5117, 4.6033__60.0750, 5.8983__60.1821, 6.8492__59.9741, 7.7190__60.1250, 8.8649__59.8426, 10.0887__60.0694, 11.1063__59.7569, 11.7898__60.0130, 12.9149__60.1171, 13.7250__59.8850, 14.7789__60.0177, 15.8698__60.3641, 16.8110__60.0867, 18.2968__60.1260, 18.8586__60.2536, 19.9315__60.2093, 21.0510__59.9881, 21.8277__59.8144, 23.0294__59.3117, 23.7580__59.7527, 24.8736__59.9519, 25.9655__59.5532, 27.1898__59.8637, 28.5465__60.3124, 29.2887__60.0064, 30.8377__59.7481, 31.0875__59.9153, 31.8697__59.5738, 33.0132__60.4199, 34.0398__59.9031, 34.7752__59.8168, 36.2929__60.2192, 37.1581__59.7354, 38.3016__59.6807, 38.7704__59.9061, 39.9571__59.6394, 41.0161__59.5689, 41.7867__59.9415, 43.0644__60.1871, 43.5474__60.2055, 45.0326__60.2097, 45.5224__60.3009, 47.1759__59.8762, 47.6850__60.1079, 48.6986__59.9943, 49.7719__59.8129, 50.3859__60.1056, 52.1815__59.7027, 52.7139__59.6662, 54.3486__60.0877, 55.2400__59.9555, 56.0150__60.0703, 57.0805__60.6887, 57.8939__60.6022, 58.8210__60.0978, 60.2148__60.4505, 60.9588__60.3172, 62.1512__60.3335, 62.6769__60.5172, 64.0000__60.3419, 
0.0000__58.7235, 0.7600__58.9021, 1.9886__58.9747, 2.9537__58.8688, 3.7028__59.2071, 4.5730__59.0918, 5.9597__58.8578, 6.8879__58.9352, 7.6465__58.9376, 9.0748__59.0241, 10.0223__58.8805, 11.1433__59.0594, 11.3862__59.1462, 13.3201__59.0729, 13.6725__59.0868, 14.7764__59.0313, 15.9023__58.5778, 16.7777__58.7608, 17.8873__59.1945, 18.8795__59.1979, 20.1814__58.9208, 21.1152__58.8243, 21.8919__58.7537, 23.1502__58.8243, 23.4915__58.6472, 25.0269__58.7528, 26.0765__58.8297, 27.2174__58.5895, 27.9517__58.8283, 29.7346__59.2232, 30.5459__59.3399, 31.4216__59.1087, 31.8309__59.0255, 32.9122__58.4826, 34.1260__58.9369, 34.8135__58.9981, 36.1121__58.8424, 37.4872__59.1023, 38.1533__59.1075, 38.8952__58.9986, 40.2010__58.8932, 41.0243__58.7433, 41.7250__58.5497, 42.6315__58.8120, 43.9585__58.7965, 44.6115__58.9735, 46.0407__58.7621, 46.6995__59.0352, 47.5558__59.3771, 48.9625__59.2326, 49.6970__59.2985, 50.5407__58.8449, 52.2249__59.0596, 52.8525__58.9328, 54.2122__58.8987, 54.9430__59.4283, 55.8638__59.6840, 56.9167__59.2093, 58.1784__59.2804, 58.9712__59.3270, 59.8255__59.3003, 61.0490__59.6422, 61.8699__59.8623, 62.8132__59.7992, 64.0000__59.6433, 
0.0000__58.1079, 0.6279__58.0139, 1.9184__58.0851, 2.9478__58.2954, 3.7502__57.8339, 5.0053__57.8325, 5.8948__57.6252, 6.6799__57.7800, 7.9136__57.8433, 8.6785__57.7110, 10.1040__58.1568, 10.8629__58.2271, 11.8324__58.1126, 12.9571__58.0315, 13.7002__58.2552, 14.8714__58.1179, 16.0599__58.1492, 16.5865__58.0716, 17.8018__58.1356, 19.0310__58.1455, 20.4027__57.9338, 20.8375__58.0958, 22.1434__58.1732, 22.9077__58.1204, 23.9933__58.2739, 25.0912__57.6690, 25.9030__57.5680, 27.1722__57.9611, 28.2548__57.8053, 28.9442__57.8064, 30.5052__58.0180, 31.3098__58.5278, 32.4428__58.0665, 33.0512__57.8858, 33.9363__57.6430, 34.5811__57.8078, 36.2515__58.0704, 37.1936__57.9454, 38.0194__58.4319, 39.3854__58.1980, 40.1433__57.8437, 41.1757__57.8923, 41.7549__57.9167, 42.4998__57.7581, 43.5960__58.1260, 44.5827__58.3118, 45.9470__58.2911, 46.5624__58.2611, 47.5128__58.0701, 48.9699__58.2220, 49.8378__57.9947, 50.8825__57.9171, 51.7152__57.8944, 53.0044__58.1433, 53.5984__58.5146, 54.7701__58.6979, 55.9286__58.3760, 57.0455__58.6348, 58.1029__58.5041, 58.8536__58.6441, 60.1001__58.5483, 60.6743__58.3749, 61.8729__58.4716, 62.8940__58.4955, 64.0000__58.5300, 
0.0000__57.6573, 1.0909__57.2319, 1.7532__56.8408, 2.7224__57.0595, 4.3890__57.2020, 4.9078__56.8641, 5.7852__57.1040, 6.8444__56.7696, 7.8856__57.0943, 8.9010__57.0806, 9.6279__56.8381, 11.0117__57.1636, 11.7405__57.3731, 13.0218__57.4986, 13.7894__57.1013, 14.7315__57.1869, 16.0838__57.1109, 16.4764__57.3216, 18.3010__57.0529, 18.8424__56.8529, 20.4806__57.2494, 20.8761__57.0373, 22.0022__57.0677, 23.2147__56.9618, 23.9556__56.4540, 25.2677__57.0555, 26.1614__56.7525, 26.8109__56.6936, 28.2610__57.3288, 29.1118__57.0404, 30.0224__56.9667, 31.4680__56.7505, 32.4729__56.9739, 33.1614__56.9671, 33.9034__57.1664, 34.6098__56.9882, 35.9781__56.8613, 37.1233__57.3473, 37.8804__57.0911, 39.4885__57.3329, 40.3918__57.3138, 40.9679__57.3105, 41.8792__57.3712, 42.6044__57.2033, 43.2967__56.9907, 44.7385__56.9982, 45.7112__57.0234, 46.8766__57.2033, 47.5211__57.1200, 48.8639__57.1549, 50.1371__57.1584, 50.4357__57.2993, 52.0822__57.4703, 52.2862__57.2038, 53.7942__57.3986, 54.9179__57.1900, 55.9203__57.3207, 57.1916__56.8721, 57.6266__57.1294, 59.2147__57.1181, 59.6696__57.2388, 60.8559__57.7159, 61.8528__57.2952, 62.8910__57.2727, 64.0000__57.1932, 
0.0000__56.1070, 1.4398__56.2011, 1.7860__56.2035, 2.7590__56.0254, 4.1010__56.2335, 5.2153__56.5206, 5.7441__55.8859, 6.7009__56.0642, 7.5687__56.1871, 8.8953__56.0577, 9.6941__56.0874, 10.7517__56.2110, 11.8363__56.1752, 12.9359__56.1185, 13.9062__56.5466, 14.9972__56.0350, 15.3708__56.1406, 17.2879__55.9636, 17.9274__55.8977, 19.2199__56.0394, 20.2290__55.7609, 21.0443__56.0188, 21.9325__55.8598, 23.2728__56.0624, 24.3296__56.0637, 24.9204__55.6012, 26.2055__56.1425, 26.9379__56.0367, 28.0537__55.6839, 29.2371__56.1868, 30.4270__55.7067, 30.8948__55.9402, 32.4218__56.2699, 32.9940__56.4710, 34.0664__56.2634, 34.7507__56.0917, 35.9902__56.0222, 36.8758__55.7993, 37.9506__56.3611, 39.3610__56.1543, 40.2965__56.2302, 40.8583__56.4534, 41.9220__56.5734, 42.7949__56.5324, 43.3700__56.4396, 44.8052__56.2526, 45.8338__56.0611, 46.2703__56.2368, 48.0806__56.2844, 48.6804__56.0303, 50.0494__56.7771, 50.9871__56.1988, 51.9069__56.3285, 52.8029__56.3409, 53.5005__55.6384, 54.8483__56.1450, 55.8907__56.0080, 57.2871__56.2954, 57.7179__56.0104, 59.0017__56.4021, 59.8584__56.4073, 60.8395__55.6567, 61.8437__55.9648, 63.0749__55.7605, 64.0000__55.6981, 
0.0000__54.8930, 1.1999__55.2131, 1.9763__55.1977, 2.5913__55.2791, 4.1163__55.3474, 5.1844__55.0202, 5.9197__55.5407, 6.6364__55.2453, 7.6344__55.3219, 8.8809__55.5265, 9.5255__55.4708, 10.7797__55.4001, 11.6749__55.1582, 12.7232__55.5914, 14.0381__55.1087, 14.9821__55.7504, 16.1649__54.7449, 17.1796__55.3209, 18.0219__55.4102, 18.8740__54.6942, 20.1876__55.3549, 21.0448__55.0221, 22.0572__55.0511, 22.9504__55.0371, 24.4739__55.0183, 25.0310__55.1990, 25.5868__55.0682, 27.3951__54.9005, 27.6685__55.0501, 29.5514__54.9837, 30.4519__55.0858, 30.8800__54.8997, 32.1043__54.9316, 32.9090__55.0990, 34.3692__55.1682, 34.6228__55.1428, 36.2939__55.0920, 36.7057__55.1261, 38.1100__54.7497, 39.0050__55.2039, 40.3104__55.3005, 40.4841__55.3143, 42.0229__55.4023, 42.8210__55.4809, 43.5353__55.4353, 44.9459__55.3546, 45.7298__55.7505, 46.6974__55.3673, 47.6854__55.2034, 48.8903__55.5840, 49.6657__55.0198, 51.3579__55.5815, 51.7938__55.1477, 53.0844__55.1720, 53.6323__55.3669, 54.8014__55.0102, 55.8065__55.2385, 57.1718__55.1861, 57.9026__55.5611, 58.8496__55.1360, 60.3593__55.4534, 61.2662__55.3567, 61.9229__54.9165, 62.9343__55.0571, 64.0000__55.2624, 
0.0000__54.0582, 0.9171__54.0673, 1.8543__54.5061, 3.0502__54.0279, 3.8951__53.8388, 5.0931__54.4293, 5.6877__54.2205, 7.0157__54.3819, 7.3659__54.2055, 8.9113__54.5641, 9.5121__54.7864, 11.0554__54.6884, 11.7450__54.4999, 12.7489__53.9631, 14.1318__54.3711, 14.8018__53.7703, 15.7995__54.0323, 16.8190__54.3263, 18.5572__54.3018, 19.2526__53.9582, 20.1580__53.4982, 21.1342__53.8371, 21.9191__53.8349, 23.0402__53.9206, 24.2564__54.1575, 24.8816__54.2298, 26.1494__54.0881, 26.9707__54.2986, 28.3361__53.8397, 28.9376__53.5312, 30.5051__53.8693, 31.1286__53.8985, 31.9809__53.7966, 32.7501__53.8145, 34.0881__54.2077, 34.9031__54.1511, 36.1575__54.0886, 37.1032__53.7446, 37.9140__53.8209, 39.1166__53.6397, 39.8440__54.1350, 40.8239__54.4088, 41.5804__53.9018, 42.8235__54.2822, 43.7761__54.1196, 44.7643__54.1730, 45.8467__53.8519, 46.7859__54.2930, 48.1136__53.9660, 48.4244__53.6122, 50.1239__54.3434, 50.8907__53.8038, 52.0172__54.0048, 52.8999__53.9449, 53.8473__53.5945, 54.4850__54.0017, 56.1182__53.8314, 56.9337__53.8823, 57.7920__53.7651, 58.9809__54.2719, 59.9391__54.2042, 61.1607__54.1949, 62.0040__54.6853, 62.9500__54.4403, 64.0000__54.1937, 
