Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Average Aspect Ratio (height/width),Average Aspect Ratio min(height/width)/max(height/width), Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0033, -0.0025, 0.0035, 0.0017, 0.000864, 1.00059, 0.990171, 0.001, 3.6845
0, 2, 0.0033, -0.0025, 0.0035, 0.0017, 0.000864, 1.00059, 0.990171, 0.001, 3.6462
0, 3, 0.0033, -0.0025, 0.0035, 0.0017, 0.000864, 1.00059, 0.990171, 0.001, 3.6665
0, 4, 0.0033, -0.0025, 0.0035, 0.0017, 0.000864, 1.00059, 0.990171, 0.001, 3.7623
0, 5, 0.0033, -0.0025, 0.0035, 0.0017, 0.000864, 1.00059, 0.990171, 0.001, 3.6299
0, 6, 0.0033, -0.0025, 0.0035, 0.0017, 0.000864, 1.00059, 0.990171, 0.001, 3.6565
0, 7, 0.0033, -0.0025, 0.0035, 0.0017, 0.000864, 1.00059, 0.990171, 0.001, 3.6784
1, 1, 0.0097, -0.0014, 0.0113, 0.0028, 0.00142, 1.023236, 0.945296, 0.014, 5.8492
1, 2, 0.0035, -0.0006, 0.0039, 0.001, 0.000493, 1.021422, 0.946198, 0.014, 5.8773
1, 3, 0.0032, -0.0013, 0.0035, 0.0009, 0.000442, 1.02044, 0.946168, 0.014, 5.9392
1, 4, 0.0031, -0.0007, 0.0033, 0.0008, 0.000419, 1.020139, 0.946417, 0.014, 5.7651
1, 5, 0.0031, -0.0007, 0.0033, 0.0008, 0.000419, 1.020042, 0.94646, 0.014, 5.9333
1, 6, 0.0031, -0.0007, 0.0033, 0.0008, 0.000419, 1.020014, 0.946477, 0.014, 5.8609
2, 1, 0.0148, 0.0002, 0.0173, 0.0022, 0.001084, 1.028914, 0.920398, 0.0598, 10.5996
2, 2, 0.007, 0.0008, 0.008, 0.001, 0.000498, 1.03144, 0.922302, 0.0598, 10.5882
2, 3, 0.0046, -0.0007, 0.0049, 0.0006, 0.000306, 1.031624, 0.922139, 0.0598, 10.5093
2, 4, 0.0043, -0.0013, 0.0045, 0.0006, 0.000281, 1.031426, 0.921976, 0.0598, 10.4937
2, 5, 0.0041, -0.0016, 0.0043, 0.0005, 0.000272, 1.031326, 0.921873, 0.0598, 10.6965
3, 1, 0.023, 0.0001, 0.0317, 0.002, 0.001003, 1.034079, 0.896458, 0.2477, 25.258
3, 2, 0.0092, 0.0, 0.0116, 0.0007, 0.000364, 1.036826, 0.894679, 0.2477, 26.3615
3, 3, 0.0066, -0.0001, 0.0077, 0.0005, 0.000242, 1.036885, 0.893575, 0.2477, 27.0124
3, 4, 0.0055, -0.0001, 0.0061, 0.0004, 0.00019, 1.037132, 0.892705, 0.2477, 27.0764
4, 1, 0.0176, -0.0004, 0.0288, 0.0009, 0.000449, 1.04066, 0.881625, 0.9918, 88.1582
4, 2, 0.0084, -0.0001, 0.0113, 0.0004, 0.000178, 1.039711, 0.881522, 0.9918, 87.4503
4, 3, 0.0062, -0.0003, 0.0072, 0.0002, 0.000113, 1.039987, 0.881412, 0.9918, 87.9805
5, 1, 0.016, 0.0, 0.0275, 0.0004, 0.000215, 1.044207, 0.875616, 3.9723, 334.0812
5, 2, 0.0088, -0.0004, 0.0133, 0.0002, 0.000104, 1.044018, 0.875117, 3.9723, 337.2857
6, 1, 0.0133, 0.0001, 0.0234, 0.0002, 9.2e-05, 1.046389, 0.873206, 15.9323, 1294.2644
6, 2, 0.0089, -0.0001, 0.0132, 0.0001, 5.2e-05, 1.045883, 0.873216, 15.9323, 1262.8032
6, 3, 0.0072, -0.0003, 0.0093, 0.0001, 3.7e-05, 1.046486, 0.872987, 15.9323, 1327.0532


Total Pre Processing Time(sec): 21.2189
Total Processing Time(sec): 5059.8405
