Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Average Aspect Ratio (height/width),Average Aspect Ratio min(height/width)/max(height/width), Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0078, -0.0027, 0.0089, 0.0045, 0.002243, 1.0124, 0.975322, 0.001, 3.7569
0, 2, 0.0028, -0.0025, 0.0032, 0.0016, 0.000801, 1.01317, 0.975971, 0.001, 3.7595
0, 3, 0.0028, -0.0025, 0.0032, 0.0016, 0.000801, 1.013082, 0.975944, 0.001, 3.8537
0, 4, 0.0028, -0.0025, 0.0032, 0.0016, 0.000801, 1.013093, 0.975954, 0.001, 3.644
0, 5, 0.0028, -0.0025, 0.0032, 0.0016, 0.000801, 1.013092, 0.975953, 0.001, 3.7714
0, 6, 0.0028, -0.0025, 0.0032, 0.0016, 0.000801, 1.013092, 0.975953, 0.001, 3.6483
1, 1, 0.0389, -0.0013, 0.0547, 0.0137, 0.006784, 1.155691, 0.700532, 0.014, 6.3913
1, 2, 0.0148, -0.0018, 0.022, 0.0055, 0.002814, 1.176548, 0.701787, 0.014, 5.8065
1, 3, 0.0054, -0.0026, 0.0079, 0.002, 0.000997, 1.182651, 0.700619, 0.014, 6.0749
1, 4, 0.0026, -0.0005, 0.0031, 0.0008, 0.000389, 1.178945, 0.70266, 0.014, 6.5066
1, 5, 0.0024, -0.0015, 0.0029, 0.0007, 0.000359, 1.177992, 0.703396, 0.014, 5.9532
2, 1, 0.1152, 0.039, 0.1698, 0.0212, 0.009939, 1.152654, 0.67981, 0.0698, 9.9231
2, 2, 0.0792, 0.0229, 0.1253, 0.0157, 0.007435, 1.176845, 0.662675, 0.0698, 8.4465
2, 3, 0.0741, 0.0215, 0.1174, 0.0147, 0.006949, 1.18295, 0.653866, 0.0698, 8.0743
2, 4, 0.0697, 0.0214, 0.1124, 0.014, 0.006684, 1.18023, 0.648027, 0.0698, 7.7771
3, 1, 0.1157, 0.0308, 0.1872, 0.0117, 0.005508, 1.247886, 0.636344, 0.2493, 21.1164
3, 2, 0.0719, 0.0199, 0.119, 0.0074, 0.003906, 1.263274, 0.631924, 0.2493, 20.8336
3, 3, 0.058, 0.0159, 0.1028, 0.0064, 0.00363, 1.263159, 0.629151, 0.2493, 21.6437
4, 1, 0.1354, 0.0675, 0.3269, 0.0102, 0.00352, 1.295982, 0.62359, 1.0085, 80.4932
4, 2, 0.1101, 0.0603, 0.3054, 0.0095, 0.003245, 1.31439, 0.625308, 1.0085, 83.7448
5, 1, 0.1276, 0.0686, 0.3185, 0.005, 0.001752, 1.337423, 0.621256, 4.0368, 309.9629
5, 2, 0.1087, 0.0636, 0.3071, 0.0048, 0.00165, 1.404754, 0.620848, 4.0368, 291.6546
5, 3, 0.1022, 0.0617, 0.2923, 0.0046, 0.001619, 1.404953, 0.620293, 4.0368, 290.8873


Total Pre Processing Time(sec): 5.3794
Total Processing Time(sec): 1213.1031
